spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
the weeknd,can't feel my face,the weeknd,can't feel my face,True,28830.0,3103,100.0,100.0,100.0
the weeknd,blinding lights,the weeknd,blinding lights,True,28828.0,3102,100.0,100.0,100.0
the wanted,glad you came,the wanted,glad you came,True,28814.0,3100,100.0,100.0,100.0
the verve pipe,the freshmen,the verve pipe,the freshmen,True,28767.0,3098,100.0,100.0,100.0
the tymes,so much in love,the tymes,so much in love,True,28710.0,3093,100.0,100.0,100.0
the turtles,happy together,the turtles,happy together,True,28693.0,3092,100.0,100.0,100.0
the troggs,wild thing,the troggs,wild thing,True,28676.0,3091,100.0,100.0,100.0
the temptations,my girl,the temptations,my girl,True,28593.0,3086,100.0,100.0,100.0
the temptations,just my imagination (running away with me),the temptations,just my imagination (running away with me),True,28585.0,3085,100.0,100.0,100.0
the temptations,i can't get next to you,the temptations,i can't get next to you,True,28579.0,3084,100.0,100.0,100.0
the sylvers,boogie fever,the sylvers,boogie fever,True,28532.0,3080,100.0,100.0,100.0
the supremes,you keep me hangin' on,the supremes,you keep me hangin' on,True,28502.0,3079,100.0,100.0,100.0
the supremes,you can't hurry love,the supremes,you can't hurry love,True,28501.0,3078,100.0,100.0,100.0
the supremes,where did our love go,the supremes,where did our love go,True,28500.0,3076,100.0,100.0,100.0
the supremes,the happening,the supremes,the happening,True,28496.0,3075,100.0,100.0,100.0
the supremes,stop! in the name of love,the supremes,stop! in the name of love,True,28495.0,3074,100.0,100.0,100.0
baby bash,suga suga,baby bash,suga suga,True,1719.0,224,100.0,100.0,100.0
baby bash,cyclone,baby bash,cyclone,True,1718.0,223,100.0,100.0,100.0
b.o.b,nothin' on you,b.o.b,nothin' on you,True,1694.0,221,100.0,100.0,100.0
b.o.b,airplanes,b.o.b,airplanes,True,1685.0,219,100.0,100.0,100.0
b.j. thomas,(hey won't you play) another somebody done somebody wrong song,b.j. thomas,(hey won't you play) another somebody done somebody wrong song,True,1658.0,217,100.0,100.0,100.0
b*witched,c'est la vie,b*witched,c'est la vie,True,1616.0,216,100.0,100.0,100.0
avril lavigne,complicated,avril lavigne,complicated,True,1582.0,211,100.0,100.0,100.0
the supremes,love is here and now you're gone,the supremes,love is here and now you're gone,True,28488.0,3073,100.0,100.0,100.0
the supremes,i hear a symphony,the supremes,i hear a symphony,True,28485.0,3072,100.0,100.0,100.0
the supremes,come see about me,the supremes,come see about me,True,28481.0,3071,100.0,100.0,100.0
the supremes,back in my arms again,the supremes,back in my arms again,True,28479.0,3070,100.0,100.0,100.0
the staple singers,let's do it again,the staple singers,let's do it again,True,28400.0,3066,100.0,100.0,100.0
the staple singers,i'll take you there,the staple singers,i'll take you there,True,28398.0,3065,100.0,100.0,100.0
the supremes,baby love,the supremes,baby love,True,28478.0,3061,100.0,100.0,100.0
the shirelles,will you love me tomorrow,the shirelles,will you love me tomorrow,True,28298.0,3058,100.0,100.0,100.0
barenaked ladies,one week,barenaked ladies,one week,True,2015.0,241,100.0,100.0,100.0
barbra streisand,woman in love,barbra streisand,woman in love,True,2001.0,239,100.0,100.0,100.0
barbra streisand,the way we were,barbra streisand,the way we were,True,1996.0,238,100.0,100.0,100.0
barbra streisand,"evergreen (love theme from ""a star is born"")",barbra streisand,"evergreen (love theme from ""a star is born"")",True,1972.0,236,100.0,100.0,100.0
bananarama,venus,bananarama,venus,True,1910.0,235,100.0,100.0,100.0
bad meets evil,lighters,bad meets evil,lighters,True,1874.0,232,100.0,100.0,100.0
bad english,when i see you smile,bad english,when i see you smile,True,1872.0,231,100.0,100.0,100.0
billy idol,mony mony,billy idol,mony mony,True,2689.0,230,100.0,100.0,100.0
bad bunny,mia,bad bunny,mia,True,1802.0,228,100.0,100.0,100.0
backstreet boys,i want it that way,backstreet boys,i want it that way,True,1764.0,227,100.0,100.0,100.0
bonnie tyler,total eclipse of the heart,bonnie tyler,total eclipse of the heart,True,3573.0,256,100.0,100.0,100.0
bazzi,mine,bazzi,mine,True,2097.0,252,100.0,100.0,100.0
bay city rollers,saturday night,bay city rollers,saturday night,True,2091.0,251,100.0,100.0,100.0
bastille,pompeii,bastille,pompeii,True,2084.0,249,100.0,100.0,100.0
barry white,"can't get enough of your love, babe",barry white,"can't get enough of your love, babe",True,2065.0,248,100.0,100.0,100.0
barry mcguire,eve of destruction,barry mcguire,eve of destruction,True,2062.0,247,100.0,100.0,100.0
barry manilow,mandy,barry manilow,mandy,True,2041.0,245,100.0,100.0,100.0
barry manilow,looks like we made it,barry manilow,looks like we made it,True,2040.0,244,100.0,100.0,100.0
barry manilow,i write the songs,barry manilow,i write the songs,True,2035.0,243,100.0,100.0,100.0
barry manilow,copacabana (at the copa),barry manilow,copacabana (at the copa),True,2029.0,242,100.0,100.0,100.0
the shirelles,soldier boy,the shirelles,soldier boy,True,28290.0,3057,100.0,100.0,100.0
the shangri-las,leader of the pack,the shangri-las,leader of the pack,True,28260.0,3056,100.0,100.0,100.0
the script,breakeven,the script,breakeven,True,28216.0,3053,100.0,100.0,100.0
the scotts,the scotts,the scotts,the scotts,True,28215.0,3052,100.0,100.0,100.0
the rooftop singers,walk right in,the rooftop singers,walk right in,True,28164.0,3049,100.0,100.0,100.0
